"PlayerName","Team","POS","ADP","IP","mW","mERA","mWHIP","mK9","mQS","mSVHLD","PTS","aPOS","Dollars"
"Jordan Hicks","STL","RP","220.4","50","($0.5)","$0.4","($0.3)","$0.1","($0.4)","$0.1","($0.5)","$1.8","$1.7"
"Diego Castillo","TBR","RP","309.3","65","($0.4)","$0.2","($0.2)","($0.2)","($0.4)","$0.4","($0.6)","$1.8","$1.6"
"Jake McGee","SFG","RP","364.3","63","($0.4)","($0.1)","($0.1)","($0.2)","($0.4)","$0.6","($0.6)","$1.8","$1.6"
"Alex Reyes","STL","RP","369.4","58","($0.4)","($0.1)","($0.5)","$0.2","($0.4)","$0.5","($0.6)","$1.8","$1.6"
"Jose Alvarado","PHI","RP","580.2","56","($0.4)","$0.3","($0.4)","$0.3","($0.4)","$0.0","($0.6)","$1.8","$1.6"
"Jose Leclerc","TEX","RP","269.7","62","($0.4)","($0.4)","($0.5)","$0.4","($0.4)","$0.7","($0.6)","$1.8","$1.6"
"Giovanny Gallegos","STL","RP","256.8","63","($0.4)","($0.1)","$0.1","($0.2)","($0.4)","$0.3","($0.7)","$1.8","$1.5"
"Seth Lugo","NYM","SP/RP","518.8","55","($0.4)","$0.2","$0.2","($0.2)","($0.3)","($0.4)","($0.9)","$1.8","$1.5"
"Jake Diekman","OAK","RP","375.6","67","($0.3)","$0.3","($0.5)","$0.1","($0.4)","$0.1","($0.7)","$1.8","$1.5"
"Chris Martin","ATL","RP","324.0","65","($0.3)","($0.2)","$0.0","($0.5)","($0.4)","$0.6","($0.8)","$1.8","$1.4"
"Tyler Matzek","ATL","RP","589.8","58","($0.4)","$0.0","($0.3)","$0.2","($0.4)","$0.0","($0.9)","$1.8","$1.3"
"Kenley Jansen","LAD","RP","115.8","62","($0.4)","($0.7)","$0.0","($0.3)","($0.4)","$0.9","($0.9)","$1.8","$1.3"
"Blake Treinen","LAD","RP","448.7","66","($0.3)","$0.1","($0.4)","($0.5)","($0.4)","$0.5","($0.9)","$1.8","$1.3"
"Adrian Morejon","SDP","RP","561.1","70","($0.1)","$0.2","($0.2)","($0.1)","$0.0","($0.7)","($0.9)","$1.8","$1.3"
"Emilio Pagan","SDP","RP","475.8","63","($0.4)","($0.4)","$0.1","($0.1)","($0.4)","$0.3","($0.9)","$1.8","$1.3"
"Aaron Bummer","CHW","RP","525.4","62","($0.4)","$0.4","($0.4)","($0.3)","($0.4)","$0.1","($1.0)","$1.8","$1.3"
"Andres Munoz","SEA","RP","595.5","36","($0.6)","$0.1","($0.1)","$0.3","($0.4)","($0.3)","($1.0)","$1.8","$1.3"
"Keone Kela","SDP","RP","582.9","46","($0.5)","$0.1","$0.0","$0.1","($0.4)","($0.4)","($1.0)","$1.8","$1.2"
"Amir Garrett","CIN","RP","247.6","63","($0.4)","($0.5)","($0.6)","$0.2","($0.4)","$0.6","($1.0)","$1.8","$1.2"
"Emmanuel Clase","CLE","RP","490.0","60","($0.4)","$0.0","($0.2)","($0.2)","($0.4)","$0.2","($1.0)","$1.8","$1.2"
"Chris Paddack","SDP","SP","107.3","107","$0.3","($0.5)","$0.2","($0.9)","$0.4","($0.7)","($1.2)","$1.8","$1.2"
"Rafael Montero","SEA","RP","169.7","63","($0.4)","($0.5)","($0.3)","($0.3)","($0.4)","$0.8","($1.1)","$1.8","$1.2"
"Lucas Sims","CIN","RP","417.7","63","($0.4)","($0.6)","($0.3)","$0.3","($0.4)","$0.3","($1.1)","$1.8","$1.1"
"Tanner Rainey","WSN","RP","474.4","62","($0.4)","($0.3)","($0.9)","$0.5","($0.4)","$0.3","($1.2)","$1.8","$1.1"
"Hector Neris","PHI","RP","288.5","65","($0.4)","($0.6)","($0.3)","($0.1)","($0.4)","$0.6","($1.2)","$1.8","$1.1"
"Lucas Giolito","CHW","SP","18.5","172","$0.9","($1.7)","($0.5)","($0.2)","$0.9","($0.7)","($1.3)","$1.8","$1.1"
"Joakim Soria","ARI","RP","269.2","62","($0.4)","($0.5)","($0.4)","($0.4)","($0.4)","$0.8","($1.3)","$1.8","$1.0"
"Tanner Scott","BAL","RP","582.5","65","($0.4)","$0.0","($0.6)","$0.0","($0.4)","$0.1","($1.3)","$1.8","$1.0"
"Miguel Castro","NYM","RP","999.0","62","($0.4)","($0.1)","($0.5)","($0.1)","($0.4)","$0.2","($1.3)","$1.8","$1.0"
"Reyes Moronta","SFG","RP","457.5","58","($0.4)","($0.3)","($0.6)","$0.0","($0.4)","$0.4","($1.4)","$1.8","$0.9"
"Noah Syndergaard","NYM","SP","342.7","95","$0.2","($0.4)","$0.1","($0.9)","$0.4","($0.7)","($1.4)","$1.8","$0.9"
"Josh James","HOU","RP","598.2","42","($0.5)","($0.1)","($0.2)","$0.3","($0.4)","($0.5)","($1.4)","$1.8","$0.9"
"Richard Rodriguez","PIT","RP","197.1","65","($0.4)","($0.7)","($0.3)","($0.4)","($0.4)","$0.8","($1.4)","$1.8","$0.9"
"Framber Valdez","HOU","SP","115.8","102","$0.3","$0.2","($0.7)","($1.0)","$0.5","($0.7)","($1.5)","$1.8","$0.8"
"Luis Severino","NYY","SP","448.7","83","$0.0","($0.5)","$0.0","($0.5)","$0.2","($0.7)","($1.5)","$1.8","$0.8"
"Pierce Johnson","SDP","RP","597.7","60","($0.4)","($0.3)","($0.4)","($0.1)","($0.4)","$0.2","($1.5)","$1.8","$0.8"
"Victor Gonzalez","LAD","RP","999.0","58","($0.4)","$0.0","($0.3)","($0.5)","($0.4)","$0.1","($1.5)","$1.8","$0.8"
"Jonathan Loaisiga","NYY","RP","583.9","52","($0.5)","($0.2)","($0.1)","($0.1)","($0.4)","($0.2)","($1.5)","$1.8","$0.8"
"Drew Rasmussen","MIL","RP","999.0","62","($0.3)","($0.1)","($0.4)","$0.1","($0.3)","($0.5)","($1.5)","$1.8","$0.8"
"Jesus Luzardo","OAK","SP","106.2","151","$0.7","($0.5)","($0.3)","($1.5)","$0.8","($0.7)","($1.6)","$1.8","$0.8"
"A.J. Puk","OAK","SP","392.9","104","$0.1","($0.4)","($0.5)","($0.3)","$0.2","($0.7)","($1.6)","$1.8","$0.7"
