Name
Zach Davies
Tony Gonsolin
Michael Fulmer
Tyler Anderson
Dylan Cease
Josh Hader
Garrett Crochet
Michael Lorenzen
Ryan Yarbrough
Edwin Diaz
Steven Brault
Austin Gomber
Martin Perez
Adrian Morejon
Matt Shoemaker
Dean Kremer
Domingo German
Joe Ross
Michael Kopech
Caleb Smith
Jon Lester
Freddy Peralta
Nick Anderson
Chad Kuhl
Aroldis Chapman
Deivi Garcia
Corbin Martin
Liam Hendriks
Carlos Rodon
David Peterson
Cristian Javier
Matt Moore
Rich Hill
Casey Mize
Tanner Roark
MacKenzie Gore
Keegan Akin
Kyle Wright
Trevor May
Adbert Alzolay
Aaron Sanchez
Cal Quantrill
Jordan Lyles
Cole Hamels
Craig Kimbrel
Mike Leake
Peter Fairbanks
James Karinchak
Mike Foltynewicz
Michael Wacha
Spencer Howard
Drew Pomeranz
Trevor Williams
Logan Allen
Chad Green
Randy Dobnak
Taylor Rogers
Aaron Bummer
Kirby Yates
Devin Williams
Jose Leclerc
Josh Fleming
Jose Alvarado
Tanner Scott
Jakob Junis
Drew Rasmussen
Emmanuel Clase
Seth Lugo
Austin Adams
Matt Barnes
Ryan Pressly
Jordan Hicks
Zack Britton
